Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
872,-0.09924,0.19084,-1.16794,-1.01270,0.07520,-0.14722,0.00,0.00,0.00
873,-0.20611,0.23664,-1.24427,-1.01025,0.07007,-0.13257,0.00,0.00,0.00
874,-0.20611,0.37405,-1.11450,-1.01660,0.07129,-0.13208,0.00,0.00,0.00
875,0.07634,0.35115,-0.96183,-1.01587,0.06592,-0.13892,0.00,0.00,0.00
876,-0.29008,0.33588,-1.00000,-1.01758,0.06519,-0.13647,0.00,0.00,0.00
877,-0.27481,0.14504,-0.76336,-1.02148,0.07275,-0.14233,0.00,0.00,0.00
878,-0.21374,-0.03817,-0.87023,-1.01733,0.07544,-0.13696,0.00,0.00,0.00
879,0.02290,-0.14504,-0.83969,-1.01587,0.06958,-0.14697,0.00,0.00,0.00
880,0.27481,0.01527,-0.93893,-1.01880,0.07617,-0.13428,0.00,0.00,0.00
881,0.14504,0.03053,-1.03817,-1.01001,0.07300,-0.14136,0.00,0.00,0.00
882,0.33588,0.16794,-0.83969,-1.01001,0.06787,-0.12891,0.00,0.00,0.00
883,0.66412,-0.30534,-0.78626,-1.01514,0.07275,-0.13037,0.00,0.00,0.00
884,0.70992,-0.02290,-0.61832,-1.00732,0.06665,-0.14087,0.00,0.00,0.00
885,0.51908,-0.12214,-0.58779,-1.01514,0.07617,-0.13696,0.00,0.00,0.00
886,0.34351,-0.00763,-0.83969,-1.01001,0.06958,-0.13403,0.00,0.00,0.00
887,0.22137,-0.11450,-0.80153,-1.01514,0.06812,-0.13745,0.00,0.00,0.00
888,0.06870,-0.32824,-0.70992,-1.01636,0.07422,-0.13379,0.00,0.00,0.00
889,0.15267,-0.15267,-0.71756,-1.01782,0.06982,-0.13525,0.00,0.00,0.00
890,0.35878,-0.09924,-0.63359,-1.01147,0.07642,-0.14160,0.00,0.00,0.00
891,0.18321,-0.06870,-0.68702,-1.01465,0.07104,-0.13330,0.00,0.00,0.00
892,0.10687,-0.31298,-0.77099,-1.01733,0.07764,-0.14136,0.00,0.00,0.00
893,-0.13740,-0.31298,-1.00763,-1.01929,0.07397,-0.14282,0.00,0.00,0.00
894,-0.10687,-0.38931,-0.97710,-1.01831,0.07031,-0.12793,0.00,0.00,0.00
895,-0.16794,-0.32824,-1.22137,-1.02051,0.06885,-0.13867,0.00,0.00,0.00
896,-0.02290,-0.12977,-1.32824,-1.01514,0.06738,-0.12964,0.00,0.00,0.00
897,0.10687,-0.15267,-1.17557,-1.01514,0.06641,-0.14087,0.00,0.00,0.00
898,0.12214,-0.13740,-1.22137,-1.01563,0.07373,-0.14258,0.00,0.00,0.00
899,-0.05344,-0.05344,-1.38931,-1.02002,0.07080,-0.13428,0.00,0.00,0.00
900,-0.09924,-0.15267,-1.32061,-1.02002,0.07104,-0.13574,0.00,0.00,0.00
901,0.15267,-0.26718,-1.26718,-1.01416,0.07349,-0.14185,0.00,0.00,0.00
902,0.11450,-0.13740,-1.11450,-1.01294,0.07153,-0.13599,0.00,0.00,0.00
903,0.21374,-0.12214,-0.98473,-1.01538,0.06689,-0.13794,0.00,0.00,0.00
904,0.38931,-0.16794,-1.13740,-1.01294,0.07007,-0.13062,0.00,0.00,0.00
905,0.05344,-0.25954,-0.98473,-1.01929,0.06885,-0.13428,0.00,0.00,0.00
906,0.08397,-0.27481,-0.89313,-1.02319,0.07031,-0.13403,0.00,0.00,0.00
907,0.16794,-0.17557,-0.93893,-1.01733,0.07202,-0.12573,0.00,0.00,0.00
908,0.09924,-0.07634,-0.90840,-1.01563,0.06836,-0.13599,0.00,0.00,0.00
909,0.00763,0.06870,-1.09924,-1.01587,0.06201,-0.13281,0.00,0.00,0.00
910,-0.07634,-0.08397,-0.95420,-1.01270,0.06787,-0.13086,0.00,0.00,0.00
911,-0.04580,-0.08397,-1.03817,-1.01855,0.07129,-0.13940,0.00,0.00,0.00
912,0.04580,-0.06107,-0.98473,-1.01514,0.06226,-0.12891,0.00,0.00,0.00
913,0.08397,-0.01527,-0.94656,-1.02100,0.06812,-0.13379,0.00,0.00,0.00
914,0.39695,0.11450,-1.01527,-1.01611,0.06714,-0.13330,0.00,0.00,0.00
915,0.09924,-0.27481,-1.00763,-1.01709,0.06738,-0.13525,0.00,0.00,0.00
916,0.13740,-0.00763,-1.06870,-1.01294,0.06616,-0.13916,0.00,0.00,0.00
917,0.09160,-0.24427,-1.06107,-1.02295,0.07446,-0.13892,0.00,0.00,0.00
918,0.19847,-0.28244,-0.97710,-1.01978,0.05933,-0.13232,0.00,0.00,0.00
919,0.42748,-0.32061,-0.92366,-1.01343,0.07056,-0.13306,0.00,0.00,0.00
920,0.44275,-0.25954,-0.88550,-1.01660,0.07422,-0.13843,0.00,0.00,0.00
921,0.46565,-0.07634,-0.97710,-1.01563,0.06104,-0.13062,0.00,0.00,0.00
922,0.51908,0.06107,-0.79389,-1.01758,0.06128,-0.14087,0.00,0.00,0.00
923,0.74046,0.03817,-0.83206,-1.01367,0.07227,-0.13110,0.00,0.00,0.00
924,0.78626,0.07634,-0.87786,-1.01465,0.06421,-0.13062,0.00,0.00,0.00
925,0.70992,0.06870,-0.77099,-1.01392,0.06201,-0.13794,0.00,0.00,0.00
926,0.87023,0.22901,-0.67176,-1.01440,0.06445,-0.13208,0.00,0.00,0.00
927,1.27481,0.12977,-0.59542,-1.01685,0.06421,-0.12939,0.00,0.00,0.00
928,1.58779,0.22137,-0.25191,-1.01489,0.06226,-0.13647,0.00,0.00,0.00
929,1.84733,0.38931,-0.10687,-1.02051,0.07007,-0.13403,0.00,0.00,0.00
930,2.27481,0.60305,-0.03053,-1.01367,0.06470,-0.13916,0.00,0.00,0.00
931,2.47328,0.36641,0.12977,-1.01807,0.07275,-0.13745,0.00,0.00,0.00
932,2.26718,0.54962,0.16031,-1.01001,0.05859,-0.15015,0.00,0.00,0.00
933,2.69466,0.43511,0.45038,-1.01563,0.06787,-0.14282,0.00,0.00,0.00
934,2.17557,0.17557,0.63359,-1.02100,0.06274,-0.13306,0.00,0.00,0.00
935,1.10687,-0.12214,0.73282,-1.00854,0.07251,-0.13989,0.00,0.00,0.00
936,0.50382,0.09924,0.89313,-1.01855,0.07227,-0.13501,0.00,0.00,0.00
937,0.38931,0.26718,0.75573,-1.01196,0.06812,-0.13208,0.00,0.00,0.00
938,-0.06870,0.38931,0.51145,-1.01563,0.07275,-0.14282,0.00,0.00,0.00
939,-0.20611,0.04580,0.57252,-1.01465,0.06470,-0.13867,0.00,0.00,0.00
940,-0.25954,-0.01527,0.38931,-1.01709,0.06860,-0.14136,0.00,0.00,0.00
941,0.50382,-0.09924,0.40458,-1.01660,0.06348,-0.13501,0.00,0.00,0.00
942,0.82443,0.04580,0.25191,-1.01489,0.06274,-0.13818,0.00,0.00,0.00
943,1.58015,0.02290,0.15267,-1.01733,0.06323,-0.12915,0.00,0.00,0.00
944,1.85496,0.28244,0.25954,-1.01733,0.06567,-0.14380,0.00,0.00,0.00
945,2.51908,0.00000,0.19084,-1.01147,0.06592,-0.14429,0.00,0.00,0.00
946,2.53435,-0.03053,0.11450,-1.00977,0.06934,-0.13501,0.00,0.00,0.00
947,2.51908,0.03053,-0.02290,-1.01465,0.06616,-0.14233,0.00,0.00,0.00
948,2.35115,0.47328,-0.24427,-1.01489,0.06689,-0.13428,0.00,0.00,0.00
949,1.90076,0.50382,-0.02290,-1.01514,0.06372,-0.12842,0.00,0.00,0.00
950,1.38168,0.43511,-0.15267,-1.01733,0.07227,-0.13452,0.00,0.00,0.00
951,0.98473,0.53435,0.22137,-1.01831,0.07275,-0.13306,0.00,0.00,0.00
952,0.00000,0.74046,0.10687,-1.01538,0.06787,-0.13599,0.00,0.00,0.00
953,-0.27481,0.75573,0.09160,-1.01514,0.07007,-0.13184,0.00,0.00,0.00
954,-0.21374,1.16794,-0.03817,-1.01489,0.06763,-0.13281,0.00,0.00,0.00
955,-0.22137,0.98473,-0.04580,-1.01123,0.06982,-0.13428,0.00,0.00,0.00
956,0.19084,0.78626,-0.23664,-1.02148,0.06860,-0.13672,0.00,0.00,0.00
957,0.59542,0.51908,-0.01527,-1.01880,0.07104,-0.13159,0.00,0.00,0.00
958,0.45038,0.62595,-0.09160,-1.01563,0.06836,-0.13989,0.00,0.00,0.00
959,0.12977,0.57252,-0.29771,-1.01978,0.06494,-0.13843,0.00,0.00,0.00
960,-0.42748,0.56489,-0.42748,-1.01514,0.07275,-0.13794,0.00,0.00,0.00
961,-0.59542,0.44275,-0.57252,-1.01733,0.07593,-0.13770,0.00,0.00,0.00
962,-0.44275,0.22901,-0.82443,-1.01831,0.06323,-0.14038,0.00,0.00,0.00
963,-0.35878,0.58015,-0.87023,-1.02197,0.06934,-0.13477,0.00,0.00,0.00
964,-0.26718,0.51145,-0.96947,-1.01270,0.06934,-0.13989,0.00,0.00,0.00
965,-0.03817,0.59542,-0.90076,-1.02026,0.06812,-0.13867,0.00,0.00,0.00
966,0.08397,0.80153,-1.05344,-1.01123,0.06348,-0.14014,0.00,0.00,0.00
967,0.25191,0.61069,-1.10687,-1.01465,0.07104,-0.14893,0.00,0.00,0.00
968,0.29771,0.38168,-1.08397,-1.01147,0.06323,-0.14502,0.00,0.00,0.00
969,-0.26718,0.34351,-0.87023,-1.01904,0.07300,-0.14209,0.00,0.00,0.00
970,-0.54198,0.51145,-0.93130,-1.01831,0.06958,-0.14111,0.00,0.00,0.00
971,-0.29771,0.49618,-0.88550,-1.02344,0.06201,-0.13965,0.00,0.00,0.00
972,-0.00763,0.33588,-1.02290,-1.01538,0.06348,-0.13184,0.00,0.00,0.00
973,0.15267,0.22901,-0.81679,-1.01172,0.06714,-0.14429,0.00,0.00,0.00
974,-0.00763,0.32061,-0.72519,-1.01636,0.06982,-0.13867,0.00,0.00,0.00
975,0.41985,0.22901,-0.64885,-1.01099,0.05933,-0.14185,0.00,0.00,0.00
976,0.38168,0.70229,-0.49618,-1.01880,0.05981,-0.14111,0.00,0.00,0.00
977,0.69466,0.38168,-0.39695,-1.01221,0.06470,-0.14307,0.00,0.00,0.00
978,0.51145,0.30534,-0.11450,-1.01514,0.06299,-0.14282,0.00,0.00,0.00
979,0.46565,0.45802,-0.27481,-1.01636,0.07080,-0.14722,0.00,0.00,0.00
980,0.44275,0.62595,-0.10687,-1.01685,0.06177,-0.13623,0.00,0.00,0.00
981,1.00000,0.35115,-0.40458,-1.01733,0.06909,-0.14063,0.00,0.00,0.00
982,1.17557,0.56489,-0.35115,-1.01514,0.06641,-0.13647,0.00,0.00,0.00
983,0.97710,0.20611,-0.37405,-1.01636,0.06689,-0.13672,0.00,0.00,0.00
984,1.02290,0.31298,-0.27481,-1.01172,0.06787,-0.13818,0.00,0.00,0.00
985,0.69466,0.82443,-0.36641,-1.01611,0.06226,-0.14063,0.00,0.00,0.00
986,0.48855,0.61069,-0.34351,-1.01392,0.06543,-0.14600,0.00,0.00,0.00
987,0.34351,0.54962,-0.24427,-1.02002,0.06519,-0.14722,0.00,0.00,0.00
988,0.07634,0.48855,-0.23664,-1.01343,0.06543,-0.13989,0.00,0.00,0.00
989,-0.16031,0.49618,0.10687,-1.01685,0.06616,-0.14209,0.00,0.00,0.00
990,0.24427,0.64122,-0.12977,-1.01953,0.06226,-0.13867,0.00,0.00,0.00
991,0.16031,0.69466,0.32824,-1.02100,0.06934,-0.14648,0.00,0.00,0.00
992,0.14504,0.51145,0.35115,-1.02466,0.06104,-0.13770,0.00,0.00,0.00
993,-0.06870,0.89313,0.19847,-1.00952,0.06982,-0.14697,0.00,0.00,0.00
994,-0.05344,0.93893,0.02290,-1.01367,0.06860,-0.13525,0.00,0.00,0.00
995,0.22137,1.19084,0.11450,-1.01318,0.06274,-0.14697,0.00,0.00,0.00
996,0.07634,0.77099,0.17557,-1.01758,0.06543,-0.14478,0.00,0.00,0.00
997,-0.40458,0.28244,0.00000,-1.01416,0.06543,-0.14795,0.00,0.00,0.00
998,-0.74809,0.51908,-0.05344,-1.01270,0.06982,-0.14185,0.00,0.00,0.00
999,-1.12214,0.54962,-0.40458,-1.01123,0.06177,-0.14185,0.00,0.00,0.00
1000,-1.12977,0.61832,-0.48092,-1.01245,0.06860,-0.14551,0.00,0.00,0.00
1001,-1.06107,0.34351,-0.72519,-1.01123,0.06714,-0.14282,0.00,0.00,0.00
1002,-0.74809,0.24427,-0.74046,-1.01538,0.06421,-0.15112,0.00,0.00,0.00
1003,-0.80916,0.13740,-1.05344,-1.00977,0.06421,-0.13770,0.00,0.00,0.00
1004,-0.47328,-0.01527,-0.91603,-1.01465,0.06128,-0.14258,0.00,0.00,0.00
1005,-0.27481,0.03053,-1.08397,-1.01563,0.06567,-0.14331,0.00,0.00,0.00
1006,-0.60305,0.03053,-1.12977,-1.01440,0.06763,-0.13892,0.00,0.00,0.00
1007,-1.06107,-0.10687,-1.13740,-1.01392,0.06641,-0.13916,0.00,0.00,0.00
1008,-1.12977,-0.03817,-1.32061,-1.01685,0.06616,-0.15039,0.00,0.00,0.00
1009,-1.10687,0.03817,-1.38168,-1.01587,0.06274,-0.13721,0.00,0.00,0.00
1010,-1.09160,-0.15267,-1.38168,-1.01733,0.06738,-0.14478,0.00,0.00,0.00
1011,-0.38168,-0.26718,-1.19084,-1.00854,0.06445,-0.14014,0.00,0.00,0.00
1012,-0.05344,-0.29008,-1.36641,-1.02002,0.05908,-0.14136,0.00,0.00,0.00
1013,-0.04580,-0.38168,-1.16794,-1.01416,0.06055,-0.14453,0.00,0.00,0.00
1014,0.19084,-0.17557,-1.20611,-1.01685,0.06226,-0.14624,0.00,0.00,0.00
1015,-0.11450,-0.38168,-1.29008,-1.01709,0.06079,-0.14966,0.00,0.00,0.00
1016,-0.21374,-0.63359,-1.41221,-1.01123,0.05811,-0.15161,0.00,0.00,0.00
1017,-0.35115,-0.39695,-1.41221,-1.02295,0.05884,-0.14038,0.00,0.00,0.00
1018,-0.07634,-0.48855,-1.66412,-1.01904,0.05981,-0.14307,0.00,0.00,0.00
1019,-0.17557,-0.38168,-1.42748,-1.01611,0.06445,-0.13965,0.00,0.00,0.00
1020,-0.13740,-0.25191,-1.37405,-1.01538,0.06665,-0.13843,0.00,0.00,0.00
1021,-0.87023,-0.88550,-1.35878,-1.01807,0.06055,-0.14282,0.00,0.00,0.00
1022,-1.79389,-0.93130,-1.06870,-1.01392,0.07568,-0.13721,0.00,0.00,0.00
1023,-2.51908,-0.58779,-1.39695,-1.00830,0.07202,-0.12256,0.00,0.00,0.00
1024,-4.06870,0.30534,-1.39695,-1.01563,0.06079,-0.12231,0.00,0.00,0.00
1025,-5.29008,0.67176,-1.22901,-1.01807,0.07031,-0.13281,0.00,0.00,0.00
1026,-6.16794,1.29008,-1.17557,-1.02173,0.06226,-0.13403,0.00,0.00,0.00
1027,-6.43511,0.74809,-0.85496,-1.01904,0.06274,-0.14282,0.00,0.00,0.00
1028,-6.37405,0.11450,-1.01527,-1.01855,0.06470,-0.15112,0.00,0.00,0.00
1029,-6.59542,-0.87023,-1.38931,-1.01831,0.06299,-0.15039,0.00,0.00,0.00
1030,-7.00763,-2.14504,-1.87786,-1.01392,0.06030,-0.15161,0.00,0.00,0.00
1031,-6.47328,-2.58779,-2.57252,-1.01147,0.05664,-0.15088,0.00,0.00,0.00
1032,-4.47328,-2.70229,-3.13740,-1.02246,0.05078,-0.15308,0.00,0.00,0.00
1033,-2.96947,-3.03053,-3.70992,-1.01929,0.05688,-0.14624,0.00,0.00,0.00
1034,-1.20611,-3.31298,-4.21374,-1.01709,0.05664,-0.13867,0.00,0.00,0.00
1035,0.41985,-3.42748,-4.38931,-1.02319,0.05762,-0.13867,0.00,0.00,0.00
1036,0.93130,-3.61832,-4.84733,-1.02319,0.04834,-0.14185,0.00,0.00,0.00
1037,0.87786,-3.91603,-4.64122,-1.02295,0.06494,-0.13403,0.00,0.00,0.00
1038,0.58779,-3.56489,-4.80153,-1.02148,0.06030,-0.14966,0.00,0.00,0.00
1039,0.62595,-3.72519,-4.67939,-1.02417,0.05762,-0.12988,0.00,0.00,0.00
1040,0.78626,-4.12214,-4.70992,-1.02148,0.05640,-0.14453,0.00,0.00,0.00
1041,1.19847,-4.19847,-4.95420,-1.02100,0.05200,-0.14502,0.00,0.00,0.00
1042,1.71756,-5.11450,-4.87023,-1.01807,0.05542,-0.14746,0.00,0.00,0.00
1043,1.57252,-5.29771,-5.18321,-1.02515,0.05786,-0.14087,0.00,0.00,0.00
1044,1.67176,-5.74046,-5.46565,-1.01563,0.06543,-0.14429,0.00,0.00,0.00
1045,1.70992,-5.67176,-6.04580,-1.01660,0.06030,-0.13599,0.00,0.00,0.00
1046,1.28244,-5.92366,-6.77099,-1.01563,0.06128,-0.13110,0.00,0.00,0.00
1047,0.78626,-6.43511,-7.54962,-1.02759,0.05298,-0.12744,0.00,0.00,0.00
1048,0.38931,-6.54198,-8.48092,-1.02490,0.05396,-0.13086,0.00,0.00,0.00
1049,0.06870,-6.28244,-9.56488,-1.02856,0.06396,-0.12720,0.00,0.00,0.00
1050,-0.06870,-6.17557,-10.95420,-1.02148,0.06250,-0.13110,0.00,0.00,0.00
1051,-0.17557,-6.34351,-11.77099,-1.02393,0.06445,-0.14209,0.00,0.00,0.00
1052,-0.19084,-6.64885,-13.06107,-1.02515,0.05176,-0.13867,0.00,0.00,0.00
1053,0.56489,-7.26718,-14.53435,-1.02881,0.04443,-0.12939,0.00,0.00,0.00
1054,0.84733,-7.41985,-16.34351,-1.02734,0.04541,-0.12500,0.00,0.00,0.00
1055,1.16031,-7.51145,-17.84733,-1.01807,0.05591,-0.12158,0.00,0.00,0.00
1056,1.15267,-7.83206,-19.87786,-1.02490,0.05347,-0.12134,0.00,0.00,0.00
1057,1.42748,-7.75573,-21.77863,-1.01904,0.04346,-0.11792,0.00,0.00,0.00
1058,1.73282,-7.59542,-24.22901,-1.02490,0.04102,-0.11743,0.00,0.00,0.00
1059,2.06870,-7.46565,-27.25191,-1.02417,0.03784,-0.10840,0.00,0.00,0.00
1060,2.19847,-7.25191,-30.39695,-1.01782,0.03516,-0.10596,0.00,0.00,0.00
1061,2.78626,-6.61069,-33.19084,-1.01831,0.02759,-0.09961,0.00,0.00,0.00
1062,3.62595,-6.46565,-36.63359,-1.02100,0.02905,-0.09839,0.00,0.00,0.00
1063,4.47328,-5.44275,-40.69466,-1.02563,0.01343,-0.09351,0.00,0.00,0.00
1064,5.56489,-4.60305,-45.06107,-1.03589,0.01001,-0.09619,0.00,0.00,0.00
1065,6.40458,-3.77099,-49.00763,-1.03369,0.01562,-0.07495,0.00,0.00,0.00
1066,6.70229,-3.06107,-53.86259,-1.02979,-0.00220,-0.08569,0.00,0.00,0.00
1067,8.35878,-2.48092,-59.14504,-1.03809,-0.01099,-0.08228,0.00,0.00,0.00
1068,9.64122,-1.82443,-64.86260,-1.05933,-0.01123,-0.08765,0.00,0.00,0.00
1069,11.29008,-1.10687,-71.23664,-1.08594,-0.02222,-0.07715,0.00,0.00,0.00
1070,12.83206,-0.67939,-77.58016,-1.10010,-0.03149,-0.07031,0.00,0.00,0.00
1071,15.87023,-0.84733,-83.90840,-1.09644,-0.03345,-0.08252,0.00,0.00,0.00
1072,18.22138,-1.06107,-89.01527,-1.12329,-0.03052,-0.10400,0.00,0.00,0.00
1073,21.45802,-0.55725,-93.68702,-1.16162,-0.04004,-0.10376,0.00,0.00,0.00
1074,24.77863,0.28244,-95.94657,-1.18652,-0.06226,-0.10181,0.00,0.00,0.00
1075,29.50382,1.48092,-97.40458,-1.21631,-0.10425,-0.09937,0.00,0.00,0.00
1076,33.05344,2.32061,-96.79389,-1.27905,-0.09399,-0.07153,0.00,0.00,0.00
1077,33.21374,5.43511,-93.92367,-1.33667,0.00806,-0.16821,0.00,0.00,0.00
1078,32.34351,4.90840,-93.64886,-1.41602,0.00537,-0.03418,0.00,0.00,0.00
1079,27.80153,8.48092,-97.30535,-1.38672,-0.04956,-0.08032,0.00,0.00,0.00
1080,26.40458,6.22901,-100.62596,-1.41919,-0.02710,-0.00928,0.00,0.00,0.00
1081,23.24427,4.99237,-102.41985,-1.42114,0.01685,-0.02173,0.00,0.00,0.00
1082,22.04580,3.84733,-103.38932,-1.39502,0.01270,-0.05127,0.00,0.00,0.00
1083,22.16794,3.48855,-103.36641,-1.34570,-0.03394,-0.07422,0.00,0.00,0.00
1084,20.68702,4.93893,-102.64122,-1.29639,-0.06665,-0.14771,0.00,0.00,0.00
1085,15.84733,7.50382,-101.26718,-1.24146,-0.14600,-0.20605,0.00,0.00,0.00
1086,11.87786,9.22901,-98.93894,-1.19800,-0.20020,-0.21021,0.00,0.00,0.00
1087,15.55725,7.06870,-89.82443,-1.15625,-0.09644,-0.15649,0.00,0.00,0.00
1088,22.18321,6.29008,-76.41222,-1.06982,0.03613,-0.11255,0.00,0.00,0.00
1089,29.15267,3.31298,-65.98474,-1.01221,-0.10767,-0.05737,0.00,0.00,0.00
1090,40.26717,-0.18321,-55.63359,-1.01563,-0.11157,-0.01416,0.00,0.00,0.00
1091,47.87786,-2.28244,-41.10687,-0.96924,0.05615,0.00659,0.00,0.00,0.00
1092,50.25954,-4.56489,-26.04580,-0.86816,0.14795,0.03076,0.00,0.00,0.00
1093,45.60305,-7.27481,-13.15267,-0.80737,0.17651,0.04810,0.00,0.00,0.00
1094,37.06107,-9.00763,-0.88550,-0.76416,0.19385,0.04712,0.00,0.00,0.00
1095,27.01527,-9.65649,10.66412,-0.74731,0.20850,0.04297,0.00,0.00,0.00
1096,13.69466,-10.42748,24.03817,-0.71777,0.23853,0.04785,0.00,0.00,0.00
1097,-0.01527,-11.04580,38.23664,-0.69019,0.24731,0.05908,0.00,0.00,0.00
1098,-12.54198,-12.08397,52.87023,-0.68750,0.22119,0.06763,0.00,0.00,0.00
1099,-20.92366,-12.93893,65.62596,-0.69580,0.18799,0.06812,0.00,0.00,0.00
1100,-27.55725,-15.00000,79.39695,-0.70386,0.15234,0.05737,0.00,0.00,0.00
1101,-31.45802,-16.67939,92.88550,-0.71753,0.13867,0.04858,0.00,0.00,0.00
1102,-35.60305,-17.95420,105.00764,-0.74146,0.13159,0.01855,0.00,0.00,0.00
1103,-39.83969,-18.77099,115.90077,-0.76538,0.12402,0.00171,0.00,0.00,0.00
1104,-43.90840,-19.80153,126.81680,-0.80322,0.10132,-0.00098,0.00,0.00,0.00
1105,-45.72519,-20.99237,136.45800,-0.83545,0.06396,-0.00732,0.00,0.00,0.00
1106,-46.12977,-22.45038,145.77099,-0.87402,0.04150,-0.02271,0.00,0.00,0.00
1107,-44.43511,-23.19847,154.29771,-0.90186,0.03540,-0.01685,0.00,0.00,0.00
1108,-42.67939,-23.63359,161.58015,-0.93848,0.00513,-0.02759,0.00,0.00,0.00
1109,-40.47328,-24.15267,168.41984,-0.95776,-0.03857,-0.02466,0.00,0.00,0.00
1110,-37.60305,-24.60305,174.30534,-0.98999,-0.06616,-0.03027,0.00,0.00,0.00
1111,-35.04580,-25.77863,180.10687,-1.03174,-0.06372,-0.03198,0.00,0.00,0.00
1112,-33.82443,-26.46565,184.66412,-1.06299,-0.04443,-0.03418,0.00,0.00,0.00
1113,-35.54198,-26.90076,188.00762,-1.09570,-0.04126,-0.04492,0.00,0.00,0.00
1114,-39.44275,-27.20611,189.33587,-1.12744,-0.05225,-0.04272,0.00,0.00,0.00
1115,-43.45801,-27.97710,189.38168,-1.16943,-0.07080,-0.04688,0.00,0.00,0.00
1116,-46.23664,-28.33588,189.06869,-1.20337,-0.08374,-0.04980,0.00,0.00,0.00
1117,-48.25191,-29.12214,188.02290,-1.24634,-0.08521,-0.05908,0.00,0.00,0.00
1118,-49.82443,-29.98473,185.78625,-1.28101,-0.10132,-0.05566,0.00,0.00,0.00
1119,-49.99237,-31.09924,181.91603,-1.32080,-0.16187,-0.04980,0.00,0.00,0.00
1120,-47.96947,-32.30534,175.05343,-1.33765,-0.22070,-0.05322,0.00,0.00,0.00
1121,-45.16794,-33.09160,166.93893,-1.34741,-0.19824,-0.08032,0.00,0.00,0.00
1122,-43.40458,-33.42748,158.09924,-1.36475,-0.16919,-0.07129,0.00,0.00,0.00
1123,-41.75572,-33.54198,147.23664,-1.34937,-0.17017,-0.07007,0.00,0.00,0.00
1124,-39.25191,-33.07633,134.05343,-1.28101,-0.22095,-0.07861,0.00,0.00,0.00
1125,-36.36641,-31.65649,121.19084,-1.22803,-0.25049,-0.10156,0.00,0.00,0.00
1126,-31.99237,-29.02290,106.05344,-1.15820,-0.28149,-0.12964,0.00,0.00,0.00
1127,-26.63359,-24.27481,90.58016,-1.09424,-0.29980,-0.16455,0.00,0.00,0.00
1128,-19.50382,-18.06107,77.06871,-1.00977,-0.32007,-0.19360,0.00,0.00,0.00
1129,-11.04580,-13.07634,63.44275,-0.97168,-0.35596,-0.19385,0.00,0.00,0.00
1130,-0.85496,-7.81679,46.70992,-0.93896,-0.38257,-0.19141,0.00,0.00,0.00
1131,8.37405,-2.61832,29.54199,-0.94849,-0.36084,-0.17603,0.00,0.00,0.00
1132,14.48092,1.37405,12.09924,-0.95996,-0.32642,-0.17017,0.00,0.00,0.00
1133,17.32825,3.67176,-3.51908,-0.96021,-0.27979,-0.13940,0.00,0.00,0.00
1134,17.47328,5.63359,-20.50382,-0.94409,-0.23340,-0.12939,0.00,0.00,0.00
1135,14.69466,7.35115,-35.50382,-0.93213,-0.18115,-0.13184,0.00,0.00,0.00
1136,10.99237,9.86260,-47.84733,-0.93164,-0.13574,-0.13306,0.00,0.00,0.00
1137,6.09924,12.97710,-57.34351,-0.93115,-0.08105,-0.15234,0.00,0.00,0.00
1138,1.42748,16.25954,-65.11450,-0.92725,-0.08276,-0.15698,0.00,0.00,0.00
1139,7.32061,14.39695,-54.59542,-1.03491,0.57642,-0.10107,0.00,0.00,0.00
1140,30.74809,5.12214,-17.19084,-1.21533,1.69287,0.19775,0.00,0.00,0.00
1141,23.58015,8.42748,-5.05344,-0.92651,1.21948,0.10962,0.00,0.00,0.00
1142,-4.63359,12.36641,-26.41222,-1.14551,0.40112,0.01685,0.00,0.00,0.00
1143,-22.46565,12.83206,-41.70992,-1.21753,0.17017,0.01099,0.00,0.00,0.00
1144,-28.22901,9.13740,-37.70992,-1.24365,0.63843,0.07495,0.00,0.00,0.00
1145,-43.15267,24.05344,-44.09923,-1.14258,0.53027,-0.11670,0.00,0.00,0.00
1146,-53.40458,31.84733,-55.61832,-1.15186,0.21362,-0.06665,0.00,0.00,0.00
1147,-49.73283,37.93893,-60.58015,-1.11743,0.03711,-0.00146,0.00,0.00,0.00
1148,-42.84733,44.67176,-60.01527,-1.06567,0.02905,-0.01392,0.00,0.00,0.00
1149,-35.35115,46.72519,-57.93893,-1.08472,-0.02539,0.05615,0.00,0.00,0.00
1150,-24.12214,43.91603,-57.37405,-1.10083,-0.10303,0.14917,0.00,0.00,0.00
1151,-8.97710,41.84733,-56.08397,-1.07056,-0.09595,0.11499,0.00,0.00,0.00
1152,7.41985,40.48855,-53.93893,-1.06836,-0.06689,0.04712,0.00,0.00,0.00
1153,24.88550,38.32824,-51.94656,-1.09351,-0.08496,0.03857,0.00,0.00,0.00
1154,35.38168,37.19847,-51.15267,-1.08911,-0.06982,-0.03540,0.00,0.00,0.00
1155,38.27481,36.49618,-49.67939,-1.10156,0.04688,-0.11084,0.00,0.00,0.00
1156,36.83969,35.61069,-47.35878,-1.07861,0.18164,-0.16284,0.00,0.00,0.00
1157,30.77099,34.68702,-45.54962,-1.01489,0.27637,-0.14160,0.00,0.00,0.00
1158,20.62595,33.25954,-44.36641,-0.97241,0.28125,-0.15039,0.00,0.00,0.00
