Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
65,0.11450,0.09924,-0.32824,-1.01685,0.06396,-0.13647,0.00,0.00,0.00
66,-0.12214,0.27481,-0.29771,-1.01440,0.06250,-0.13208,0.00,0.00,0.00
67,-0.01527,0.35878,-0.27481,-1.02466,0.06348,-0.12915,0.00,0.00,0.00
68,-0.03817,0.25191,-0.12214,-1.01563,0.05762,-0.12500,0.00,0.00,0.00
69,-0.20611,0.22901,-0.37405,-1.02661,0.05884,-0.13062,0.00,0.00,0.00
70,-0.28244,0.22137,-0.25191,-1.01392,0.06030,-0.13013,0.00,0.00,0.00
71,-0.35878,0.20611,-0.16031,-1.01929,0.05444,-0.13940,0.00,0.00,0.00
72,-0.38168,0.26718,-0.20611,-1.01294,0.05908,-0.13672,0.00,0.00,0.00
73,-0.16794,0.32061,-0.32061,-1.01929,0.05981,-0.13428,0.00,0.00,0.00
74,-0.24427,0.24427,-0.19847,-1.02271,0.06152,-0.12939,0.00,0.00,0.00
75,-0.19847,0.41985,-0.15267,-1.01367,0.05835,-0.14185,0.00,0.00,0.00
76,-0.18321,0.48092,-0.33588,-1.01489,0.05933,-0.13501,0.00,0.00,0.00
77,-0.25954,0.19084,-0.38931,-1.02026,0.06128,-0.13208,0.00,0.00,0.00
78,-0.14504,0.45802,-0.51908,-1.01904,0.06543,-0.13452,0.00,0.00,0.00
79,-0.47328,0.44275,-0.51908,-1.01416,0.06323,-0.13867,0.00,0.00,0.00
80,-0.25191,0.30534,-0.46565,-1.01270,0.05981,-0.13281,0.00,0.00,0.00
81,-0.13740,0.16031,-0.61832,-1.01538,0.06421,-0.13379,0.00,0.00,0.00
82,-0.46565,0.35878,-0.64885,-1.01489,0.05518,-0.14136,0.00,0.00,0.00
83,-0.29008,0.39695,-0.44275,-1.01318,0.06079,-0.13721,0.00,0.00,0.00
84,-0.47328,0.24427,-0.67176,-1.01831,0.05737,-0.13354,0.00,0.00,0.00
85,-0.58779,0.32061,-0.56489,-1.01855,0.06104,-0.13159,0.00,0.00,0.00
86,-0.66412,0.34351,-0.53435,-1.01294,0.05566,-0.13403,0.00,0.00,0.00
87,-0.42748,0.32061,-0.51145,-1.01953,0.05762,-0.12939,0.00,0.00,0.00
88,-0.54198,0.09924,-0.59542,-1.01855,0.05933,-0.13013,0.00,0.00,0.00
89,-0.66412,0.41985,-0.50382,-1.01855,0.06030,-0.13354,0.00,0.00,0.00
90,-0.54198,0.14504,-0.54198,-1.02148,0.05981,-0.13037,0.00,0.00,0.00
91,-0.65649,0.35878,-0.72519,-1.02051,0.06299,-0.13550,0.00,0.00,0.00
